letter,target,block
A,0.0,0.0
A,0.0,0.0
E,0.0,0.0
E,0.0,0.0
E,1.0,0.0
A,0.0,0.0
A,0.0,0.0
C,0.0,0.0
C,0.0,0.0
B,0.0,0.0
C,1.0,0.0
A,0.0,0.0
E,0.0,0.0
C,0.0,0.0
A,0.0,0.0
C,0.0,1.0
A,0.0,1.0
E,0.0,1.0
E,0.0,1.0
B,0.0,1.0
A,0.0,1.0
B,1.0,1.0
B,0.0,1.0
D,0.0,1.0
B,1.0,1.0
B,0.0,1.0
A,0.0,1.0
D,0.0,1.0
B,0.0,1.0
A,0.0,1.0
B,0.0,2.0
D,0.0,2.0
D,0.0,2.0
B,0.0,2.0
D,1.0,2.0
D,0.0,2.0
A,0.0,2.0
B,0.0,2.0
D,0.0,2.0
E,0.0,2.0
A,0.0,2.0
A,0.0,2.0
E,0.0,2.0
D,0.0,2.0
C,0.0,2.0
B,0.0,3.0
A,0.0,3.0
C,0.0,3.0
B,0.0,3.0
B,0.0,3.0
D,0.0,3.0
B,1.0,3.0
A,0.0,3.0
C,0.0,3.0
A,1.0,3.0
A,0.0,3.0
C,0.0,3.0
E,0.0,3.0
D,0.0,3.0
E,1.0,3.0
C,0.0,4.0
E,0.0,4.0
C,1.0,4.0
D,0.0,4.0
D,0.0,4.0
E,0.0,4.0
C,0.0,4.0
D,0.0,4.0
E,0.0,4.0
E,0.0,4.0
E,1.0,4.0
C,0.0,4.0
E,1.0,4.0
C,1.0,4.0
E,1.0,4.0
D,0.0,5.0
C,0.0,5.0
C,0.0,5.0
E,0.0,5.0
A,0.0,5.0
E,1.0,5.0
D,0.0,5.0
A,0.0,5.0
E,0.0,5.0
B,0.0,5.0
D,0.0,5.0
E,0.0,5.0
C,0.0,5.0
D,0.0,5.0
B,0.0,5.0
C,0.0,6.0
E,0.0,6.0
C,1.0,6.0
A,0.0,6.0
B,0.0,6.0
A,1.0,6.0
A,0.0,6.0
A,1.0,6.0
C,0.0,6.0
E,0.0,6.0
B,0.0,6.0
D,0.0,6.0
D,0.0,6.0
D,1.0,6.0
C,0.0,6.0
E,0.0,7.0
C,0.0,7.0
C,0.0,7.0
A,0.0,7.0
C,1.0,7.0
B,0.0,7.0
B,0.0,7.0
E,0.0,7.0
D,0.0,7.0
A,0.0,7.0
B,0.0,7.0
D,0.0,7.0
E,0.0,7.0
A,0.0,7.0
B,0.0,7.0
A,0.0,8.0
D,0.0,8.0
E,0.0,8.0
A,0.0,8.0
B,0.0,8.0
B,0.0,8.0
A,0.0,8.0
A,0.0,8.0
C,0.0,8.0
C,0.0,8.0
B,0.0,8.0
A,0.0,8.0
D,0.0,8.0
E,0.0,8.0
B,0.0,8.0
C,0.0,9.0
D,0.0,9.0
C,1.0,9.0
B,0.0,9.0
E,0.0,9.0
A,0.0,9.0
C,0.0,9.0
B,0.0,9.0
E,0.0,9.0
B,1.0,9.0
E,1.0,9.0
C,0.0,9.0
D,0.0,9.0
D,0.0,9.0
B,0.0,9.0
